index,merging steps,merged documents,avg doc size,total docs size,avg num of nodes per doc,total num of nodes in docs,num of nodes in merged doc,avg num of statements per doc,total num of statements in docs,statements in merged doc,total runtime,time for downloading
0,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,19078.0,21343.0
1,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,18812.0,15906.0
2,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,24422.0,13500.0
3,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,17500.0,21453.0
4,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,31031.0,15532.0
5,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,16656.0,11906.0
6,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,16562.0,17594.0
7,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,19360.0,14656.0
8,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,25313.0,14312.0
9,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,16031.0,14485.0
10,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,13672.0,14015.0
11,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,21875.0,12343.0
12,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,13172.0,11047.0
13,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,17375.0,18360.0
14,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,16516.0,13922.0
15,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,18219.0,11234.0
16,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,17297.0,12844.0
17,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,22578.0,12922.0
18,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,13828.0,13610.0
19,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,13594.0,11156.0
20,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,24438.0,11422.0
21,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,21203.0,17266.0
22,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,17343.0,12282.0
23,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,15531.0,12235.0
24,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,15516.0,11640.0
25,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,14422.0,11016.0
26,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,19891.0,25000.0
27,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,18297.0,14141.0
28,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,12687.0,14344.0
29,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,12250.0,10625.0
30,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,22422.0,16344.0
31,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,18735.0,11140.0
32,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,16203.0,13875.0
33,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,16281.0,13281.0
34,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,19406.0,23422.0
35,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,21969.0,11890.0
36,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,13547.0,12547.0
37,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,15828.0,11344.0
38,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,12531.0,11547.0
39,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,19829.0,14812.0
40,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,13172.0,13359.0
41,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,13094.0,11453.0
42,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,20469.0,11141.0
43,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,13063.0,13797.0
44,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,17265.0,13891.0
45,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,13360.0,13390.0
46,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,16672.0,21812.0
47,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,13688.0,11078.0
48,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,16531.0,10625.0
49,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,17672.0,14500.0
50,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,16687.0,11157.0
51,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,19812.0,22579.0
52,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,18000.0,11734.0
53,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,14578.0,13500.0
54,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,15219.0,29125.0
55,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,13438.0,14594.0
56,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,18641.0,14218.0
57,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,12953.0,18109.0
58,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,17812.0,15438.0
59,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,16875.0,17453.0
60,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,16937.0,14422.0
61,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,13969.0,15953.0
62,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,22172.0,10937.0
