index,merging steps,merged documents,avg doc size,total docs size,avg num of nodes per doc,total num of nodes in docs,num of nodes in merged doc,avg num of statements per doc,total num of statements in docs,statements in merged doc,total runtime,time for downloading
69,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5594.0,5953.0
70,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5297.0,6203.0
71,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,8563.0,5593.0
72,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5610.0,5109.0
73,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4969.0,5625.0
74,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,6407.0,6468.0
75,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5672.0,6360.0
76,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5469.0,5906.0
77,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5532.0,5843.0
78,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5610.0,6593.0
79,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,6860.0,6078.0
80,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,7703.0,8313.0
81,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5281.0,7344.0
82,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,7328.0,5906.0
83,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5875.0,7079.0
84,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,7750.0,5829.0
85,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,7656.0,5735.0
86,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,6234.0,6922.0
87,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5750.0,5516.0
88,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,6407.0,5531.0
89,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5781.0,5375.0
90,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,6781.0,6140.0
91,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5609.0,4860.0
92,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4953.0,6203.0
93,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5703.0,5297.0
94,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,6812.0,5141.0
95,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5625.0,5812.0
96,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5125.0,6250.0
97,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,6985.0,6265.0
98,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,6625.0,6563.0
99,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5484.0,6750.0
