index,merging steps,merged documents,avg doc size,total docs size,avg num of nodes per doc,total num of nodes in docs,num of nodes in merged doc,avg num of statements per doc,total num of statements in docs,statements in merged doc,total runtime,time for downloading
0,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,6250.0,5218.0
1,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4688.0,5016.0
2,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4609.0,4672.0
3,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4187.0,4000.0
4,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4188.0,5297.0
5,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4594.0,5187.0
6,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4031.0,4563.0
7,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4328.0,5219.0
8,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5156.0,5406.0
9,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4656.0,5000.0
10,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4359.0,4078.0
11,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4485.0,4203.0
12,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4343.0,4454.0
13,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4375.0,4125.0
14,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4094.0,4406.0
15,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,3985.0,4000.0
16,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4078.0,4703.0
17,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4047.0,4906.0
18,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4265.0,4391.0
19,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4281.0,4813.0
20,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4421.0,4485.0
21,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4203.0,4219.0
22,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4250.0,4391.0
23,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4703.0,4672.0
24,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4484.0,4469.0
25,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4437.0,4625.0
26,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4469.0,4297.0
27,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,3875.0,4156.0
28,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4203.0,4234.0
29,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5203.0,4469.0
30,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4750.0,4891.0
31,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4344.0,5922.0
32,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4109.0,5219.0
33,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4437.0,4157.0
34,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4750.0,4484.0
35,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4375.0,4875.0
36,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4640.0,4313.0
37,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4172.0,4234.0
38,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4562.0,4328.0
39,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4235.0,4297.0
40,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,3922.0,4141.0
41,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4016.0,4469.0
42,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4765.0,4328.0
43,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4297.0,4391.0
44,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4078.0,4360.0
45,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4140.0,4375.0
46,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,3860.0,4140.0
47,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4172.0,5078.0
48,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4250.0,4547.0
49,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4203.0,4719.0
50,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4500.0,4266.0
51,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5391.0,4687.0
52,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4094.0,4859.0
53,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4281.0,4328.0
54,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4609.0,4250.0
55,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,6266.0,8000.0
56,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4359.0,4781.0
57,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4594.0,4531.0
58,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4797.0,4375.0
59,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4593.0,5422.0
60,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4672.0,5125.0
