index,merging steps,merged documents,avg doc size,total docs size,avg num of nodes per doc,total num of nodes in docs,num of nodes in merged doc,avg num of statements per doc,total num of statements in docs,statements in merged doc,total runtime,time for downloading
0,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,7562.0,4954.0
1,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4734.0,4500.0
2,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4594.0,4562.0
3,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4593.0,4610.0
4,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4328.0,4453.0
5,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4719.0,4562.0
6,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4563.0,8031.0
7,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5172.0,4734.0
8,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4531.0,5250.0
9,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5047.0,5297.0
10,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5454.0,5375.0
11,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5469.0,5172.0
12,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4484.0,5469.0
13,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4828.0,5406.0
14,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5157.0,5218.0
15,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5328.0,8625.0
16,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4703.0,4797.0
17,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4640.0,5985.0
18,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,9578.0,4500.0
19,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4641.0,5500.0
20,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4547.0,5610.0
21,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5093.0,6235.0
22,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5203.0,8485.0
23,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5469.0,6219.0
24,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4906.0,8266.0
25,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4657.0,4734.0
26,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5094.0,5422.0
27,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4938.0,6344.0
28,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4562.0,5500.0
29,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4828.0,5453.0
30,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5000.0,4172.0
31,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4312.0,4438.0
32,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,8859.0,4422.0
33,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4718.0,4657.0
34,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4406.0,4313.0
35,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4359.0,4485.0
36,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4734.0,5594.0
37,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4703.0,4313.0
38,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4156.0,4625.0
39,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4532.0,4484.0
40,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4390.0,4875.0
41,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4296.0,5063.0
42,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4953.0,4625.0
43,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4312.0,7516.0
44,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5015.0,4735.0
45,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4078.0,4328.0
46,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4578.0,4328.0
47,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4031.0,5156.0
48,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4844.0,4922.0
49,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4813.0,4422.0
50,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4890.0,5266.0
51,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4437.0,4219.0
52,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4937.0,4938.0
53,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4062.0,4578.0
54,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5094.0,5109.0
55,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4656.0,5406.0
56,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4297.0,4219.0
57,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4750.0,8047.0
58,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,6734.0,7578.0
59,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5219.0,4375.0
60,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4250.0,5219.0
61,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5250.0,4328.0
62,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4125.0,4641.0
63,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4453.0,4125.0
64,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4187.0,5672.0
65,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5031.0,4328.0
66,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4172.0,4297.0
67,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4657.0,4718.0
68,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4797.0,4968.0
69,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5063.0,4578.0
70,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4640.0,4516.0
71,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5328.0,4281.0
72,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5094.0,5234.0
73,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4453.0,4985.0
74,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4906.0,5859.0
75,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5406.0,4359.0
76,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4313.0,5000.0
77,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4406.0,5187.0
78,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4906.0,4360.0
79,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4625.0,4390.0
80,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5094.0,4484.0
81,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5063.0,7656.0
82,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4250.0,4313.0
83,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5203.0,5453.0
84,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5562.0,5219.0
85,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,5156.0,4735.0
86,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4140.0,4469.0
87,10,11,5635.636363636364,61992,0,0,0,28.0,310.0,172.0,4391.0,4625.0
